References,Qty,Description,Part Number,Manufacturer,Mouser,Digikey
R1,1,330 1206,RC1206FR-07330RL,Yageo,603-RC1206FR-07330RL,311-330FRCT-ND
R2,1,1K 1206,RC1206FR-071KL,Yageo,,
R3,2,22K 1206,RC1206FR-0722KL,Yageo,603-RC1206FR-0722KL,311-22.0KFRCT-ND
R4,1,22K 1206,RC1206FR-0722KL,Yageo,603-RC1206FR-0722KL,311-22.0KFRCT-ND
R5,1,10K 1206,RC1206FR-0710KL,Yageo,,
U1,1,WEMOS D1-mini,,,,
IC1,1,4051 SOP-8,,,,
IC2,1,PT8211 SOP-8,,,,
D1,1,LED_2835 Pink,,,,
D2,1,LED_2835 Blue,,,,
Pot1,1,Potentiometer 10k lin vertical Alps,,,,
Pot2,1,Potentiometer 10k lin vertical Alps,,,,
Pot3,1,Potentiometer 10k lin vertical Alps,,,,
Pot4,1,Potentiometer 10k lin vertical Alps,,,,
SW1,1,Push Switch,,,,
SW2,1,Tactile Button,,,,
SW3,1,Tactile Button,,,,
Jack1,1,AUDIO-JACK 5pin THT,,,,
Jack2,1,AUDIO-JACK SMD,,,,
Jack3,1,AUDIO-JACK 5pin THT,,,,
Jack4,1,AUDIO-JACK SMD,,,,
NEO1,1,Optional: (SK6813 NEO-Pixel),,,,
Case1,1,Hammond 1590B,,,,
