References,Qty,Description,Part Number,Manufacturer,Mouser,Digikey
R1,1,22K 1206,RC1206FR-0722KL,Yageo,603-RC1206FR-0722KL,311-22.0KFRCT-ND
R2,1,22K 1206,RC1206FR-0722KL,Yageo,603-RC1206FR-0722KL,311-22.0KFRCT-ND
R3,1,22K 1206,RC1206FR-0722KL,Yageo,603-RC1206FR-0722KL,311-22.0KFRCT-ND
R4,1,330 1206,RC1206FR-07330RL,Yageo,603-RC1206FR-07330RL,311-330FRCT-ND
R5,1,68K 1206,,,,
R6,2,68K 1206,,,,
R7,1,1K5 1206,,,,
C1,1,100nF 1206,C1206C104K5RACTU,KEMET,80-C1206C104K5R,399-1249-2-ND
C2,1,100nF 1206,C1206C104K5RACTU,KEMET,80-C1206C104K5R,399-1249-2-ND
U1,1,8Pin-DIL-Socket,DILB8P-223TLF,Amphenol FCI,649-DILB8P223TLF,609-4717-ND
IC1,1,Attiny85 DIL-Package,ATtiny85-20PU,Microchip Technology / Atmel,556-ATTINY85-20PU,
D1,1,LED_D3.0mm_FlatTop,,,,
D2,1,D_Zener 3.3V,,,,
D3,1,D_Zener 3.3V,,,,
LS1,1,Buzzer,,,,
SW1,1,Tactile Button,,,,
SW2,1,Push Switch,,,,
J1,1,AUDIO-JACK,,,,
J5,1,USB-micro breakout board 5-pin,,,,
